feature,gain,split
INS_18M_AMT_INSTALMENT_SUM,6068.17028465271,313.4
PREV_LAST24M_SIMPLE_INTERESTS_MEAN,6051.350191116333,306.0
BUREAU_LAST36M_AMT_CREDIT_SUM_DEBT_SUM,6042.632143211365,280.0
BUREAU_ACTIVE_AMT_CREDIT_SUM_DEBT_MEAN,6040.805590438843,319.2
POS_SK_DPD_DEF_MEAN,6015.355759239197,228.8
PREV_LAST12M_DAYS_DECISION_MEAN,6013.429187870026,337.8
GROUP1_CREDIT_TO_ANNUITY_STD,6011.024814796448,312.2
GROUP1_CREDIT_MEDIAN,5979.9564413070675,301.4
PREV_NAME_CONTRACT_STATUS_Approved_MEAN,5966.147780418396,211.6
PREV_RATE_DOWN_PAYMENT_MEAN,5959.7008702278135,321.6
LIVINGAREA_AVG,5926.003320121765,292.0
PREV_ACTIVE_AMT_CREDIT_SUM,5873.574933624268,307.0
INS_18M_AMT_INSTALMENT_MEAN,5850.491331195832,300.6
AMT_INCOME_TOTAL,5835.766506004334,317.2
CC_CNT_DRAWINGS_CURRENT_MAX,5826.912963294983,268.8
INS_LATE_PAYMENT_RATIO_MEAN,5825.756574630737,271.6
PREV_LAST12M_SIMPLE_INTERESTS_MAX,5788.417319202423,303.4
INS_AMT_INSTALMENT_MIN,5735.202607917786,300.8
POS_NAME_CONTRACT_STATUS_Completed_MEAN,5729.903363418579,300.6
PREV_RATE_DOWN_PAYMENT_MAX,5719.698084640503,282.4
120_TREND_PAID_OVER_AMOUNT,5705.252500152588,298.4
PREV_LAST24M_APPLICATION_CREDIT_RATIO_MAX,5679.66533126831,312.6
APPROVED_APPLICATION_CREDIT_RATIO_MAX,5662.214097595215,259.6
PREV_APPLICATION_CREDIT_RATIO_MAX,5655.357925128937,271.6
INS_18M_PAYMENT_RATIO_MEAN,5643.164793872833,233.8
YEARS_BEGINEXPLUATATION_AVG,5624.021203422546,294.4
GROUP2_CREDIT_MEDIAN,5606.118131065368,238.0
BUREAU_AMT_CREDIT_MAX_OVERDUE_MAX,5581.113773345947,260.2
APPROVED_DAYS_LAST_DUE_1ST_VERSION_MEAN,5565.431872463227,261.8
BUREAU_ACTIVE_AMT_CREDIT_SUM_MAX,5564.530483436584,284.0
APPROVED_AMT_ANNUITY_MEAN,5524.423863792419,295.8
PREV_ACTIVE_DAYS_DECISION_MEAN,5465.108073997498,292.8
GROUP1_ANNUITY_MEDIAN,5445.571775722504,295.4
GROUP2_ANNUITY_MEDIAN,5438.199119758606,235.2
